index,author,original_comment,processed_comment,is_gambling_prediction,confidence,gambling_keywords_found,has_contact_info,sentiment_polarity
129,@SalnangMarak-nm6mo,𝑲𝒀𝑻4𝑫...MODAL SEDIKIT HASIL MAKSIMAL &lt;3,𝑲𝒀𝑻𝑫modal sedikit hasil maksimal lt,True,0.9930886332129663,1,False,0.0
165,@SeptianFarhandikafadly,Di luar prediksi bmkg🗿🗿🗿🗿👍👊,di luar prediksi bmkg🗿🗿🗿🗿👍👊,True,0.963994806593333,1,False,0.0
479,@ShahfrozKing,"Cakep sih, tapi masih kalah dikit sama saldo 𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗 pas ditarik full 😎",cakep sih tapi masih kalah dikit sama saldo 𝐏𝐒𝐓𝐎𝐓𝐎 pas ditarik full 😎,True,0.9964795097272597,1,False,0.35
